,Mkt-RF,SMB,HML,RF
198010,1.05,2.59,-2.59,0.95
198011,9.53,-3.21,-8.14,0.96
198012,-4.75,-0.29,2.88,1.31
198101,-5.05,2.78,6.71,1.04
198102,0.48,-0.15,1.11,1.07
198103,3.41,3.48,0.69,1.21
198104,-2.2,4.28,2.56,1.08
198105,0.2,1.56,-0.39,1.15
198106,-2.37,-1.03,5.12,1.35
198107,-1.55,-1.92,-0.52,1.24
198108,-6.91,-2.1,4.6,1.28
198109,-7.61,-2.8,5.51,1.24
198110,4.81,2.34,-3.95,1.21
198111,3.51,-1.13,1.86,1.07
198112,-3.68,1.25,0.84,0.87
198201,-3.42,-1.2,3.4,0.8
198202,-6.03,0.47,6.15,0.92
198203,-1.99,-0.18,3.95,0.98
198204,3.2,1.58,-2.77,1.13
198205,-3.88,0.61,2.12,1.06
198206,-3.35,-0.36,1.86,0.96
198207,-3.1,0.77,0.58,1.05
198208,11.14,-4.14,1.12,0.76
198209,1.17,2.94,0.24,0.51
198210,11.27,2.54,-3.86,0.59
198211,4.56,4.62,-2.15,0.63
198212,0.78,-0.17,-0.08,0.67
198301,3.46,2.68,-0.6,0.69
198302,2.43,3.15,0.66,0.62
198303,2.84,1.87,1.79,0.63
198304,6.72,0.36,0.39,0.71
198305,0.62,6.3,-1.65,0.69
198306,3.13,0.99,-3.86,0.67
198307,-3.91,1.54,5.55,0.74
198308,-0.4,-4.39,5.22,0.76
198309,0.87,0.63,1.11,0.76
198310,-3.53,-3.57,4.96,0.76
198311,2.23,1.89,-0.82,0.7
198312,-1.77,-0.31,1.75,0.73
198401,-2.05,-0.47,7.77,0.76
198402,-4.63,-1.69,3.42,0.71
198403,0.62,0.04,0.22,0.73
198404,-0.54,-1.05,1.36,0.81
198405,-6.02,0.04,0.52,0.78
198406,1.61,-0.16,-2.32,0.75
198407,-2.86,-2.41,0.24,0.82
198408,10.43,-0.18,-1.63,0.83
198409,-0.82,-0.15,5.22,0.86
198410,-0.99,-1.12,0.52,1
198411,-1.79,-0.59,3.98,0.73
198412,1.74,-0.57,-0.27,0.64
198501,7.92,3.2,-4.97,0.65
198502,1.12,0.87,0.05,0.58
198503,-0.81,-1,3.88,0.62
198504,-0.94,0.05,3.58,0.72
198505,4.93,-2.49,-0.91,0.66
198506,1.17,0.58,0.43,0.55
198507,-0.67,2.93,-1.96,0.62
198508,-1.03,-0.42,2.08,0.55
198509,-4.57,-1.84,1.13,0.6
198510,3.81,-1.61,0.55,0.65
198511,6.32,0.15,-2.92,0.61
198512,3.66,-0.69,-1.63,0.65
198601,0.43,1.17,0.11,0.56
198602,6.75,-0.59,-0.69,0.53
198603,4.79,-0.53,-0.19,0.6
198604,-1.32,2.91,-2.74,0.52
198605,4.59,-1.18,-0.07,0.49
198606,0.91,-0.99,1.43,0.52
198607,-6.49,-3.4,4.45,0.52
198608,6.18,-4.29,3.46,0.46
198609,-8.36,2.52,3.42,0.45
198610,4.48,-2.49,-1.46,0.46
198611,1.13,-2.14,-0.42,0.39
198612,-3.14,-0.06,0.21,0.49
198701,12.42,-1.67,-2.95,0.42
198702,4.33,3.7,-5.74,0.43
198703,1.85,0.41,1.72,0.47
198704,-2.15,-1.66,-0.43,0.44
198705,0.14,-0.45,0.42,0.38
198706,3.9,-2.13,1.08,0.48
198707,3.95,-0.52,1.18,0.46
198708,3.25,-0.86,-1.15,0.47
198709,-2.52,0.53,0.06,0.45
198710,-23.09,-8.4,4.17,0.6
198711,-7.64,2.65,3.09,0.35
198712,6.65,0.06,-4.3,0.39
198801,4.24,-0.68,5.39,0.29
198802,4.7,3.28,-1.62,0.46
198803,-2.15,6.21,0.93,0.44
198804,0.64,0.83,1.52,0.46
198805,-0.42,-2.7,2.4,0.51
198806,4.65,1.87,-1.45,0.49
198807,-1.23,-0.24,2.27,0.51
198808,-3.38,0.06,1.96,0.59
198809,3.11,-1.25,-0.75,0.62
198810,1.16,-2.73,1.73,0.61
198811,-2.21,-1.62,1.35,0.57
198812,1.45,1.89,-1.42,0.63
198901,6.04,-2.21,0.47,0.55
198902,-2.25,2.85,0.8,0.61
198903,1.48,0.59,0.33,0.67
198904,4.18,-0.65,-1.67,0.67
198905,3.17,-0.08,-1.05,0.79
198906,-1.21,-0.96,2.18,0.71
198907,7.07,-4.19,-2.96,0.7
198908,1.49,0.52,0.67,0.74
198909,-0.83,0.34,-1.32,0.65
198910,-3.62,-3.01,-0.88,0.68
198911,1.1,-1.28,-1.23,0.69
198912,1.22,-2.31,0.18,0.61
199001,-7.58,-1,1,0.57
199002,0.93,0.91,0.53,0.57
199003,1.78,1.25,-2.85,0.64
199004,-3.51,-0.23,-2.31,0.69
199005,8.21,-2.9,-3.87,0.68
199006,-1.06,1.16,-2.22,0.63
199007,-1.62,-2.9,-0.36,0.68
199008,-9.83,-3.34,1.63,0.66
199009,-5.99,-3.62,0.56,0.6
199010,-1.92,-5.76,0.27,0.68
199011,6.03,0.27,-2.87,0.57
199012,2.35,0.88,-1.63,0.6
199101,4.38,3.58,-1.65,0.52
199102,7.09,3.87,-0.98,0.48
199103,2.44,3.9,-1.22,0.44
199104,-0.19,0.62,1.52,0.53
199105,3.59,-0.37,-0.56,0.47
199106,-4.84,0.19,1.2,0.42
199107,4.19,-0.72,-1,0.49
199108,2.23,1.53,-0.98,0.46
199109,-1.57,1.57,-1.13,0.46
199110,1.35,0.85,-0.61,0.42
199111,-4.12,-0.47,-1.8,0.39
199112,10.32,-2.4,-3.9,0.38
199201,-0.51,8.49,4.72,0.34
199202,1.05,0.78,6.62,0.28
199203,-2.71,-1.35,3.59,0.34
199204,1.06,-6.03,4.37,0.32
199205,0.37,0.42,1.17,0.28
199206,-2.24,-3.16,3.28,0.32
199207,3.68,-0.28,-0.4,0.31
199208,-2.34,-0.04,-1.07,0.26
199209,0.98,0.71,-0.09,0.26
199210,0.86,2.22,-2.06,0.23
199211,3.79,3.39,-1.66,0.23
199212,1.48,1.62,2.43,0.28
199301,1.01,1.98,5.96,0.23
199302,0.33,-3.38,6.43,0.22
199303,2.25,0.49,1.27,0.25
199304,-2.79,-0.49,2.64,0.24
199305,2.72,2.07,-3.48,0.22
199306,0.26,-0.23,2.54,0.25
199307,-0.32,1,3,0.24
199308,3.68,0.12,0.04,0.25
199309,-0.2,3.05,-0.24,0.26
199310,1.59,1.78,-2.3,0.22
199311,-1.98,-1.48,-1.01,0.25
199312,1.71,1.23,0.27,0.23
199401,2.88,0.31,1.5,0.25
199402,-2.62,2.66,-1.46,0.21
199403,-4.84,-0.96,1.5,0.27
199404,0.71,-0.86,1.48,0.27
199405,0.63,-2.01,0.33,0.32
199406,-3.05,-0.44,1.99,0.31
199407,2.76,-1.73,1.03,0.28
199408,3.91,1.17,-2.85,0.37
199409,-2.24,2.6,-1.35,0.37
199410,1.11,-2.42,-1.45,0.38
199411,-4.08,-0.14,0.02,0.37
199412,0.84,0.1,0,0.44
199501,1.64,-3.03,2.54,0.42
199502,3.56,-0.34,0.11,0.4
199503,2.24,-0.47,-1.9,0.46
199504,2.05,-0.46,2.13,0.44
199505,2.87,-2.08,1.75,0.54
199506,2.61,2.93,-2.91,0.47
199507,3.62,2.2,-2.12,0.45
199508,0.46,1.71,2.04,0.47
199509,3.21,-2.19,-0.64,0.43
199510,-1.58,-4.12,0.35,0.47
199511,3.88,-0.8,0.23,0.42
199512,1.05,0.48,1,0.49
199601,2.38,-2.55,0.42,0.43
199602,1.22,2.06,-1.97,0.39
199603,0.73,1.25,1.05,0.39
199604,2.05,5.02,-4.29,0.46
199605,2.25,3.24,-1.46,0.42
199606,-1.17,-3.99,2.53,0.4
199607,-5.79,-3.59,4.48,0.45
199608,2.81,2.29,-0.62,0.41
199609,4.86,-0.85,-3.76,0.44
199610,0.97,-4.03,4.62,0.42
199611,6.16,-3.46,0.09,0.41
199612,-1.6,3.14,1.08,0.46
199701,4.85,-1.58,-2.54,0.45
199702,-0.48,-2.54,4.83,0.39
199703,-4.87,-0.32,3.85,0.43
199704,3.82,-5.14,-1.2,0.43
199705,6.64,4.62,-4.09,0.49
199706,4.05,1.36,0.83,0.37
199707,7.2,-2.37,-0.69,0.43
199708,-4.06,7.44,0.9,0.41
199709,5.36,2.58,-0.38,0.44
199710,-3.83,-0.93,2.53,0.42
199711,2.72,-5.05,1.05,0.39
199712,1.32,-2.33,3.6,0.48
199801,0.01,-1.01,-1.67,0.43
199802,6.89,0.29,-1.23,0.39
199803,4.75,-1.45,1.92,0.39
199804,0.66,0.41,0.22,0.43
199805,-2.95,-3.62,4.29,0.4
199806,2.86,-3.4,-1.54,0.41
199807,-2.72,-4.51,-1.79,0.4
199808,-16.11,-5.92,5.69,0.43
199809,5.95,0.02,-3.76,0.46
199810,7.11,-3.36,-2.85,0.32
199811,5.86,1.36,-3.68,0.31
199812,5.94,-0.31,-4.95,0.38
199901,3.47,1.15,-6.16,0.35
199902,-4.15,-5.59,1.66,0.35
199903,3.32,-3.82,-3.04,0.43
